soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
11-1011,Chief Executives,111080,129540,204350,0.1662,-0.0234,flat,
11-1021,General and Operations Managers,60690,72320,3503020,0.1916,-0.0021,flat,
11-2011,Advertising and Promotions Managers,94020,91370,21470,-0.0282,-0.1862,down,
11-2021,Marketing Managers,100010,123020,395240,0.2301,0.0301,up,
11-2022,Sales Managers,84450,100360,637080,0.1884,-0.0048,flat,
11-2032,Public Relations Managers,94660,106580,74850,0.1259,-0.0572,down,
11-2033,Fundraising Managers,77170,95970,38810,0.2436,0.0414,up,
11-3012,Administrative Services Managers,77070,86460,263960,0.1218,-0.0606,down,
11-3013,Facilities Managers,74700,82020,156180,0.0980,-0.0805,down,
11-3021,Computer and Information Systems Managers,122820,138060,670570,0.1241,-0.0587,down,
11-3031,Financial Managers,99620,125490,841710,0.2597,0.0549,up,
11-3051,Industrial Production Managers,80190,98160,246250,0.2241,0.0251,flat,
11-3061,Purchasing Managers,98720,115550,84320,0.1705,-0.0198,flat,
11-3071,"Transportation, Storage, and Distribution Managers",75290,82440,221180,0.0950,-0.0831,down,
11-3111,Compensation and Benefits Managers,98720,113170,22940,0.1464,-0.0400,down,
11-3121,Human Resources Managers,95310,111110,220660,0.1658,-0.0238,flat,
11-3131,Training and Development Managers,90980,101850,48050,0.1195,-0.0625,down,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",49940,66300,6500,0.3276,0.1117,up,
11-9021,Construction Managers,76960,88550,380360,0.1506,-0.0365,down,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",37200,47040,73660,0.2645,0.0589,up,
11-9032,"Education Administrators, Kindergarten through Secondary",77450,86040,328330,0.1109,-0.0697,down,
11-9033,"Education Administrators, Postsecondary",74730,80870,180470,0.0822,-0.0938,down,
11-9039,"Education Administrators, All Other",62190,68980,55130,0.1092,-0.0712,down,
11-9041,Architectural and Engineering Managers,125470,139360,220260,0.1107,-0.0699,down,
11-9051,Food Service Managers,46590,56870,238430,0.2206,0.0222,flat,
11-9071,Gambling Managers,60150,72570,5030,0.2065,0.0103,flat,
11-9072,"Entertainment and Recreation Managers, Except Gambling",47850,61060,37980,0.2761,0.0686,up,
11-9081,Lodging Managers,46400,49530,42620,0.0675,-0.1061,down,
11-9111,Medical and Health Services Managers,77750,94700,597080,0.2180,0.0200,flat,
11-9121,Natural Sciences Managers,101400,119430,108690,0.1778,-0.0137,flat,
11-9131,Postmasters and Mail Superintendents,74030,90650,13810,0.2245,0.0254,flat,
11-9141,"Property, Real Estate, and Community Association Managers",42420,50720,311180,0.1957,0.0012,flat,
